Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
silver_trader_block_baditems,"Some of the selected items are not accepted by the trader.","Some of the selected items are not accepted by the trader.","Některé z vybraných položek obchodník nepřijímá","Einige der ausgewählten Artikel werden vom Händler nicht akzeptiert","Некоторые из выбранных товаров не приняты трейдером","Niektóre z przedmiotów nie są akceptowalne przez kupca","A kiválasztott tételek egy részét a kereskedő nem fogadja el","Alcuni degli articoli selezionati non sono accettati dal commerciante","Algunos de los artículos seleccionados no son aceptados por el comerciante.","Certains des articles sélectionnés ne sont pas acceptés par le commerçant","部分所選商品不被商家接受","選択されたアイテムの一部はトレーダーによって受け入れられません","Alguns dos itens selecionados não são aceitos pelo comerciante","部分所选商品不被商家接受"
silver_trader_block_toomany,"You cannot sell too many items in one action.","You cannot sell too many items in one action.","Nemůžete prodat příliš mnoho položek v jedné akci","Sie können nicht zu viele Artikel in einer Aktion verkaufen","Вы не можете продать слишком много предметов за одно действие.","Nie możesz sprzedać za dużo przedmiotów podczas jednej transakcji","Nem adhat el túl sok terméket egy akcióban","Non puoi vendere troppi oggetti in una sola azione","No puedes vender demasiados artículos en una sola acción.","Vous ne pouvez pas vendre trop d'articles en une seule action","您不能在一次操作中出售太多物品","1回のアクションであまりにも多くのアイテムを販売することはできません","Você não pode vender muitos itens em uma ação","您不能在一次操作中出售太多物品"
silver_trader_block_sell,"Not for sale","Not for sale","Není na prodej","Nicht zum Verkauf","Не для продажи","Nie na sprzedaż","Nem eladó","Non in vendita","no esta a la venta","Pas à vendre","非賣品","非売品","Não está à venda","非卖品"
silver_trader_block_buy,"Can't buy","Can't buy","Nelze koupit","Kann nicht gekauft werden","Не могу купить","Nie można kupić","Nem lehet megvenni","Impossibile acquistare","no puedo comprar","Je ne peux pas acheter","買不到","買えない","Não consigo comprar","买不到"
silver_trader_filter_tools,"Tools","Tools","Nástroje","Werkzeuge","Инструменты","Narzędzia","Eszközök","Utensili","Herramientas","Outils","工具","ツール","Ferramentas","工具"
silver_trader_filter_weapons,"Weapons","Weapons","Zbraně","Waffen","Оружие","Bronie","Fegyverek","Armi","Armas","Armes","武器","兵器","Armas","武器"
silver_trader_filter_magazines,"Magazine","Magazine","Časopis","Magazine","Журнал","Magazynki","Magazin","Rivista","Revista","Revue","雜誌","雑誌","Revista","杂志"
silver_trader_filter_attachments,"Attachments","Attachments","Přílohy","Aufsätze","Вложения","Dodatki","Mellékletek","Allegati","Adjuntos","Pièces jointes","附件","添付ファイル","Anexos","附件"
silver_trader_filter_ammo,"Ammo","Ammo","Munice","Munition","Боеприпасы","Amunicja","Lőszer","Munizioni","Munición","Munitions","彈藥","弾薬","Munição","弹药"
silver_trader_filter_food,"Food","Food","Jídlo","Nahrung","Еда","Jedzenie","Élelmiszer","Cibo","Alimento","Nourriture","食物","食べ物","Comida","食物"
silver_trader_filter_clothing,"Clothing","Clothing","Oblečení","Kleidung","Одежда","Odzież","Ruházat","Vestiario","Ropa","Vêtements","衣服","衣類","Roupas","衣服"
silver_trader_filter_medical,"Medicine","Medicine","Lék","Medizin","Лекарство","Medykamenty","Gyógyszer","Medicinale","Medicamento","Médecine","藥物","薬","Medicamento","药品"
silver_trader_filter_electronic,"Electronics","Electronics","Elektronika","Elektronik","Электроника","Elektronika","Elektronika","Elettronica","Electrónica","Électronique","電子產品","エレクトロニクス","Eletrônica","电子产品"
silver_trader_filter_base_building,"Base Building","Base Building","Základní budova","Basisbau","Базовое здание","Budowanie","Bázisépület","Edificio di base","Construcción de bases","Bâtiment de base","基地建設","基地の建物","Edifício Base","基地建设"
silver_trader_filter_vehicle_parts,"Vehicle parts","Vehicle parts","Díly vozidel","Fahrzeugteile","Запчасти для автомобилей","Części Samochodowe","Járműalkatrészek","Parti del veicolo","Piezas de vehículos","Pièces de véhicules","車輛零件","自動車部品","Peças de veículos","车辆零件"
silver_trader_filter_other,"Miscellaneous","Miscellaneous","Smíšený","Verschiedenes","Разнообразный","Pozostałe","Különféle","Varie","Misceláneas","Divers","各種各樣的","その他","Variado","各种各样的"
silver_trader_forbuy,"Trader items:","Trader items:","Obchodní položky:","Händler Gegenstände:","Предметы торговца:","Przedmioty Kupca :","Kereskedői cikkek:","Oggetti del commerciante:","Artículos comerciales:","Objets du commerçant :","貿易商項目：","トレーダーアイテム:","Itens do comerciante:","贸易商项目："
silver_trader_forsale,"Your inventory:","Your inventory:","Váš inventář:","Deine Gegenstände:","Ваш инвентарь:","Twoje Przedmioty :","Az Ön készlete:","Il tuo inventario:","Tu inventario:","Votre inventaire :","您的庫存：","あなたの在庫:","Seu inventário:","您的库存："
silver_trader_barter,"BARTER","BARTER","BARTER","TAUSCHEN","БАРТЕР","WYMIANA","CSEREKERESKEDELEM","PERMUTA","PERMUTA","TROC","物物交換","バーター","PERMUTA","物物交换"
silver_action_trade,"Trade","Trade","Obchod","Handel","Торговля","Wymień","Kereskedelmi","Commercio","Comercio","Commerce","貿易","貿易","Troca","贸易"
